id,question,letter,answer,img
0,Którego polecenia nalezy użyć aby wyraz TEKST został wyświetleny w kolorze czarnym w oknie przeglądarki internetowej?,C,< font color="#000000" > TEKST < /font >,0
1,W poleceniach których celem jest odtwarzanie na stronie internetowej dźwięku jako podkładu muzycznego NIE wykorzystuje się atrybutu,D,href="C:/100.wav",0
2,Jakiego znacznika należy użyć aby przejść do kolejnej linii tekstu nie tworząc akapitu na stronie interenetowej ?,C,< br >,0
3,Kaskadowe arkusze stylów tworzy się w celu,A,ułatwienia formatowania strony,0
4,W podanej regule CSS: h1 {color: blue} h1 oznacza,C,selektor,0
5,Edytor spełniający założenia WYSIWYG musi umożliwiać,D,uzyskanie zbliżonego wyniku tworzenej strony do jej obrazu w przegladarce interenetowej,0
6,Do graficznego tworzenia stron internetowych należy wykorzystać.,C,program typu WYSIWYG,0
7,W procesie walidacji stron internetowych nie bada się,D,źródła pochodzenia narzędzi edytorskich,0
8,Model opisu przestrzeni barw o parametrach: odcień nasycenie i jasność to,A,HSV,0
9,Wskaż model barw który stosuje się do wyświetlania kolorów na ekranie monitora komputerowego,B,RGB,0
10,Który parametr obiektu graficznego ulegnie zmianie po modyfikacji wartości kanału alfa?,B,Przezroczystość,0
11,Jakiego formatu należy użyć do zapisu obrazu z kompresją stratną?,D,JPEG,0
12,Najprostszy sposób zamiany obiektu oznaczonego cyfrą 1 na obiekt oznaczony cyfrą 2 polega na,D,geometrycznym transformowaniu obiektu,1
13,Jak nazywa się proces przedstawienia we właściwej dla danego środowiska formie informacji zawartej w dokumencie elektronicznym?,C,Renderowanie,0
14,Proces filtracji sygnału wejściowego w dziedzinie czasu obejmujący zasadę superpozycji związany jest filtrem,A,liniowym,0
15,Jak nazywa się podzbiór strukturalnego języka zapytań związany z formułowaniem zapytań do bazy danych za pomocą polecenia SELECT?,D,SQL DQL (ang. Data Query Language),0
16,Jakie sa nazwy typowych poleceń języka zapytań SQL związane z wykonywaniem operacji na danych SQL DML (np.: umieszczanie danych w bazie kasowanie dokonywanie zmian w danych)?,D,DELETE INSERT UPDATE,0
17,Jak posortowana będzie lista utworzona ze wszystkich kolumn tabeli uczniowie i zawierająca uczniów ze średnią większą od 5 która zostanie zwrócona jako wynik przedstawionego zapytania?,B,Malejąco według parametru klasa,1
18,Według którego parametru oraz dla ilu tabel zostaną zwrócone wiersze na liście w wyniku przedstawionego zapytania?,D,Według parametru nr_id dla wszystkich tabel,1
19,Który z obiektów relacyjnej bazy danych będący kodem języka SQL może być wywoływany w zapytaniach modyfikujących kolumny danych widoczne jako tabela bez względu na to czy jest tworzony programowo czy dynamicznie?,D,Funkcja zdefiniowana,0
20,Jak nazywa się element bazy danych za pomocą którego można jedynie odczytać dane z bazy prezentując je w postaci tekstu lub wykresu?,B,Raport,0
21,Jakiego typu specjalizowane oprogramowanie narzędziowe należy zainstalować aby umożliwić wykonywanie jego użytkownikowi operacji na zgromadzonych danych?,B,System Zarządzania Bazą Danych (SZBD),0
22,Co należy zastosować w organizacji danych aby zapytania w bazie danych były wykonywane szybciej?,B,Indeksy,0
23,W programie Microsoft Access formą zabezpieczeń dostępu do danych związaną z tabelą i kwerendą jest,B,przypisanie uprawnień,0
24,Które z wymienionych osób odpowiadają za przygotowanie systemu bazy danych do pracy produkcyjnej w sposób ciągły zarządzanie użytkownikami i instalowanie nowych wersji systemu bazodanowego?,B,Administratorzy systemu bazy danych,0
25,Z jakimi mechanizmami nadawania zabezpieczeń dającymi możliwości wykonywania operacji na bazie danych związane są zagadnienia zarządzania kontami użytkownikami i uprawnieniami?,D,Z przywilejami systemowymi,0
26,Metoda udostępniania bazy danych w programie Microsoft Access dotycząca wszystkich obiektów bazy umieszczonych na dysku sieciowym i używanych jednocześnie przez różne osoby nosi nazwę,A,folderu sieciowego,0
27,Jakie należy posiadać uprawnienia aby wykonać i odtworzyć kopię zapasową bazy danych Microsoft SQL Server 2005 Express?,D,Administrator systemu,0
28,Typ zmiennej w języku JavaScript,C,następuje poprzez przypisanie wartości,0
29,Zmienne typu int odnoszą się do liczb,B,całkowitych,0
30,Co definiuje w języku C++ przedstawiony fragment kodu?,C,Typ strukturalny składający się z trzech pól,1
31,Sposób programowania w którym ciąg poleceń (sekwencji instrukcji) przekazywanych komputerowi jest postrzegany jako program nosi nazwę programowania,D,imperatywnego,0
32,Które wartości będą kolejno wypisane w wyniku działania przedstawionego skryptu,A,2 2 1,1
33,Fragment kodu prezentuje składnię języka,C,PHP,1
34,Jaki program komputerowy przekształca kod źródłowy napisany w konkretnym języku programowania na język komputera?,B,Kompilator,0
35,Jak nazywa się program który wykonuje instrukcje zawarte w kodzie źródłowym tworzonego programu bez uprzedniego generowania programu wynikowego?,A,Interpreter,0
36,Który język skryptowy ogólnego przeznaczenia należy wykorzystać do tworzenia aplikacji WWW zagnieżdżanych w języku HTML i uruchamianych po stronie serwera?,C,PHP,0
37,Jak nazywa się technika umożliwiająca otwarcie połączenia klienta z serwerem i komunikację bez przeładowywania całej strony WWW w sposób asynchroniczny ?,C,AJAX,0
38,Jak nazywa się element oznaczony znakiem zapytania w strukturze platformy .NET który umożliwia tworzenie własnych aplikacji z użyciem frameworków i zamianę kompilowanego kodu pośredniego na kod maszynowy procesora zainstalowanego w komputerze?,D,Wspólne środowisko uruchomieniowe (CLR),1
